tof,distance,polar,azimuthal,weight
4054.40014648,3.26358,2.25876,-0.371906,2.9241e-09
4074.40014648,3.34157,2.26283,-0.471099,0.595054
3899.60009766,3.40036,2.23357,-0.517017,0.127342
4086.60009766,3.42217,2.2286,-0.534679,7.8934e-05
3905.69995117,3.45396,2.24354,-0.570343,4.77133e-06
3921.19995117,3.51669,2.208,-0.601723,1.65242e-07
3893.80004883,3.41857,2.25937,-0.546611,0.0179338
3895.69995117,3.42491,2.25784,-0.551683,4.69627e-07
3880.0,3.29062,2.25987,-0.409199,5.03047e-05
4084.90014648,3.37885,2.26908,-0.512875,3.37486e-07
4106.80029297,3.42217,2.26609,-0.552879,5.40484e-05
3867.40014648,3.27598,2.29574,-0.403737,0.167158
3863.90014648,3.23053,2.26719,-0.324614,0.000459682
4131.10009766,3.50913,2.21671,-0.60089,7.15324e-05
3865.80004883,3.3555,2.25939,-0.484615,0.0217789
3847.30004883,3.21047,2.33102,-0.307404,0.426787
3846.40014648,3.2889,2.25244,-0.403451,0.000106516
3990.40014648,3.2122,2.33051,-0.310621,6.7812e-05
3837.60009766,3.34777,2.28478,-0.486737,0.000151482
3878.80004883,3.31234,2.27808,-0.44388,5.88914e-13
3874.10009766,3.30861,2.24762,-0.425874,4.21871e-07
4095.80004883,3.44211,2.21684,-0.545963,5.17333e-11
3969.0,3.22298,2.26915,-0.312542,3.10171e-06
4070.40014648,3.2474,2.27897,-0.356655,0.00136089
3992.60009766,3.22484,2.26867,-0.315569,3.27243e-05
3898.10009766,3.3908,2.24329,-0.512787,0.0022579
3991.40014648,3.22158,2.30242,-0.322173,5.7965e-05
4137.30029297,3.50559,2.23911,-0.610105,0.000148077
4118.10009766,3.48572,2.20744,-0.577124,6.78969e-05
4084.0,3.38159,2.25306,-0.508467,0.00130073
3873.19995117,3.31819,2.29253,-0.456052,4.16011e-05
3881.60009766,3.4152,2.24509,-0.536779,5.09258e-05
3914.80004883,3.45794,2.22064,-0.561703,0.0421059
3868.69995117,3.25565,2.29306,-0.374083,0.00826584
3883.19995117,3.36828,2.28736,-0.509342,0.558204
3996.80004883,3.2495,2.27842,-0.359638,2.48239e-08
3860.0,3.26023,2.30003,-0.382923,0.000651959
3853.60009766,3.18844,2.32033,-0.260793,0.000209026
3988.80004883,3.22114,2.32788,-0.326604,0.00365617
4095.69995117,3.30244,2.26478,-0.426344,0.000234587
4078.90014648,3.27876,2.30316,-0.409726,0.00936105
4128.70019531,3.48853,2.25032,-0.602198,8.37507e-11
3904.60009766,3.38779,2.244,-0.510201,0.000229157
3902.0,3.40276,2.25558,-0.53017,1.19865e-05
3871.5,3.24649,2.26309,-0.348463,0.00318867
4097.10009766,3.41273,2.23074,-0.527154,2.65419e-09
4115.89990234,3.32274,2.27541,-0.455097,7.68137e-08
3896.30004883,3.40895,2.24656,-0.5317,0.0199609
3874.19995117,3.2592,2.25986,-0.366085,4.18664e-05
3968.19995117,3.2108,2.29708,-0.301061,0.000177793
4127.30029297,3.48917,2.25757,-0.606139,8.62796e-05
3865.69995117,3.25588,2.30122,-0.376911,0.000589283
3972.5,3.20397,2.29897,-0.288505,0.00190245
4092.30004883,3.34732,2.27701,-0.48329,0.00242704
3962.19995117,3.20046,2.27508,-0.272667,0.0021634
3925.90014648,3.50913,2.23831,-0.612443,1.02547e-06
4101.80029297,3.27644,2.3038,-0.406765,7.53012e-05
3867.10009766,3.34224,2.24721,-0.464562,0.000362006
4137.89990234,3.51669,2.208,-0.601723,3.85119e-14
4102.5,3.47096,2.22503,-0.574995,0.0969042
3875.69995117,3.31303,2.25431,-0.434466,1.6207e-09
3910.5,3.3859,2.22941,-0.500793,0.000155428
4096.0,3.35834,2.26643,-0.490705,5.83609e-05
4130.39990234,3.49157,2.24228,-0.600678,8.67503e-05
3863.10009766,3.2542,2.26913,-0.362891,0.00230161
4089.80004883,3.29995,2.28932,-0.432838,0.00512034
3996.40014648,3.23498,2.29045,-0.341183,0.014249
4080.69995117,3.33363,2.28052,-0.469528,0.000418731
4091.0,3.37118,2.28661,-0.51204,0.00251173
3836.69995117,3.18821,2.30339,-0.256709,5.24303e-12
4131.20019531,3.49264,2.25675,-0.608529,0.000155103
3867.40014648,3.24787,2.31175,-0.367594,1.29396e-10
