tof,distance,polar,azimuthal,weight
3838.40014648,3.21634,2.28727,-0.308051,1.51764
4087.60009766,3.34777,2.24589,-0.469939,0.000616935
3844.5,3.19298,2.31901,-0.270529,0.0163963
3907.90014648,3.50538,2.2319,-0.606218,0.857944
4081.30004883,3.36473,2.28042,-0.503068,0.0285427
4076.0,3.24717,2.28717,-0.359331,0.0113992
4077.5,3.24996,2.31116,-0.370652,0.000432851
3955.60009766,3.20565,2.30689,-0.293925,0.733398
3900.0,3.39686,2.24187,-0.517936,0.00136546
4000.30004883,3.23568,2.3152,-0.349101,1.2601e-06
3855.40014648,3.20302,2.28262,-0.280994,0.00294677
3851.10009766,3.20421,2.31576,-0.293039,1.51088e-10
4029.90014648,3.24123,2.30528,-0.355643,3.02077e-09
4004.80004883,3.24996,2.31116,-0.370652,0.0753285
3874.40014648,3.2689,2.2814,-0.389032,1.63317e-06
4006.5,3.22983,2.31687,-0.339759,1.83669e-08
3900.80004883,3.48572,2.25838,-0.603741,0.000621137
3853.5,3.22344,2.2936,-0.322799,0.00209489
3877.30004883,3.34455,2.27772,-0.480553,1.80917e-08
4071.40014648,3.28651,2.25303,-0.400617,0.00173055
4052.90014648,3.25161,2.3024,-0.37087,0.0002239
4079.69995117,3.25138,2.28604,-0.365327,6.31931e-07
3858.5,3.20372,2.27421,-0.278863,0.00454502
4096.80029297,3.28514,2.27715,-0.409404,0.00069558
4092.30004883,3.37006,2.2482,-0.494528,0.000467813
4005.80004883,3.2313,2.28324,-0.332557,1.08509e-05
4095.0,3.41835,2.25186,-0.542937,0.00722943
4108.39990234,3.2811,2.30252,-0.412679,4.38294e-05
4130.89990234,3.50206,2.2399,-0.60776,5.19345e-05
3997.90014648,3.22672,2.26818,-0.31859,6.09223e-06
3879.5,3.37298,2.2475,-0.497159,2.1365
3893.5,3.40343,2.27069,-0.537462,0.0563582
3878.19995117,3.2714,2.2727,-0.389094,2.92336e-05
3884.19995117,3.30747,2.28733,-0.44142,4.14907e-05
4136.5,3.51376,2.25184,-0.622704,0.000224509
3886.19995117,3.30725,2.2794,-0.438227,3.80418e-11
4111.0,3.45396,2.23615,-0.566614,0.000138258
4050.10009766,3.36406,2.26501,-0.496068,0.0262436
3880.90014648,3.30747,2.28733,-0.44142,9.69813e-11
4071.5,3.40718,2.27746,-0.543776,3.35813e-06
4079.19995117,3.30244,2.26478,-0.426344,0.0025173
3848.10009766,3.19815,2.32606,-0.282441,0.00655006
4071.60009766,3.2622,2.28317,-0.380195,1.0584
3881.5,3.3395,2.24787,-0.461862,3.10675e-09
3879.10009766,3.32606,2.29045,-0.464516,0.356805
3902.0,3.40585,2.25484,-0.532739,0.0477203
4037.19995117,3.26,2.29189,-0.380059,3.95913e-09
3867.19995117,3.27483,2.3125,-0.406851,0.237999
3977.90014648,3.21103,2.3138,-0.305768,0.00951865
3872.10009766,3.20735,2.29803,-0.294795,1.35141e-07
3877.0,3.39969,2.24874,-0.524024,4.8857e-05
4091.40014648,3.32826,2.25834,-0.454171,0.000195663
3889.30004883,3.34988,2.26854,-0.482603,0.000530508
4090.10009766,3.40343,2.27069,-0.537462,0.000135677
4061.60009766,3.29479,2.28264,-0.423961,0.000327592
3862.5,3.26243,2.29942,-0.385918,0.212527
4131.30029297,3.49855,2.2407,-0.605407,1.79136e-05
4046.40014648,3.25704,2.26041,-0.363164,2.02044e-11
3892.30004883,3.3973,2.27221,-0.532259,1.10583
3866.10009766,3.26913,2.27329,-0.386179,1.49476e-09
3902.80004883,3.40276,2.25558,-0.53017,0.00447867
4078.69995117,3.36473,2.28042,-0.503068,1.09862e-07
3855.90014648,3.21455,2.28775,-0.30496,0.000160258
3925.80004883,3.50602,2.21025,-0.594814,0.00210132
3944.69995117,3.18844,2.29491,-0.254714,0.00607249
4108.30029297,3.33207,2.29687,-0.473531,2.66011e-09
3878.5,3.31047,2.25494,-0.431687,0.000130502
4075.0,3.3654,2.23414,-0.482591,0.0855687
3919.40014648,3.47074,2.23236,-0.578722,0.0627369
