tof,distance,polar,azimuthal,weight
4106.39990234,3.42788,2.24961,-0.550504,2.2248e-05
3846.30004883,3.2093,2.3143,-0.302596,0.00633447
4123.60009766,3.49855,2.219,-0.593917,7.23024e-06
4084.90014648,3.37275,2.25519,-0.500585,0.201675
3918.69995117,3.47139,2.25432,-0.590165,5.5225e-05
4087.80004883,3.2913,2.30792,-0.427587,0.0129329
3917.10009766,3.49613,2.25594,-0.610911,0.00951439
4098.60009766,3.41028,2.27669,-0.546368,0.0111757
3964.19995117,3.19586,2.30123,-0.272678,0.0021739
3848.80004883,3.20906,2.30593,-0.300246,0.0498774
3849.0,3.18994,2.2945,-0.257896,0.0107031
4110.0,3.35123,2.2918,-0.492985,5.44449e-11
3970.30004883,3.19429,2.31012,-0.271612,5.65897e-11
3966.69995117,3.19744,2.30922,-0.278017,0.00105684
3825.5,3.21634,2.31229,-0.315249,0.241147
4002.80004883,3.23638,2.26568,-0.333604,7.81594e-05
3859.40014648,3.20067,2.29989,-0.282191,3.27106e-12
3842.0,3.20468,2.28217,-0.284105,0.0318709
3876.40014648,3.30979,2.27874,-0.441057,0.000156338
3894.30004883,3.34844,2.29253,-0.49023,0.000110446
3976.30004883,3.22532,2.30138,-0.32838,3.13135e-08
3862.69995117,3.19768,2.29236,-0.273725,0.0320953
3963.0,3.19975,2.32559,-0.28568,0.0368199
3851.60009766,3.26,2.29189,-0.380059,0.378442
3853.90014648,3.21861,2.27844,-0.308786,1.2087e-08
3896.30004883,3.38293,2.23009,-0.498214,0.0165895
4095.30004883,3.39991,2.26389,-0.531206,0.000554227
4086.90014648,3.28993,2.27591,-0.41516,9.67376e-06
3918.69995117,3.47755,2.23084,-0.583513,0.0291729
4090.10009766,3.28753,2.28455,-0.415312,2.53144e-10
4114.80029297,3.4812,2.22278,-0.582146,0.000502106
4142.0,3.50314,2.2543,-0.615652,0.000550512
4122.5,3.46398,2.23388,-0.573902,8.53438e-05
3897.69995117,3.4513,2.2221,-0.556856,0.000469858
3978.40014648,3.51669,2.208,-0.601723,0.000671051
3889.69995117,3.37006,2.27127,-0.504901,0.345237
4083.90014648,3.3156,2.25368,-0.437238,2.2139e-07
3991.90014648,3.22555,2.28478,-0.323414,3.02688e-10
4108.70019531,3.46464,2.21917,-0.566521,1.03648e-09
