tof,distance,polar,azimuthal,weight
3850.90014648,3.27483,2.3125,-0.406851,0.000294759
3976.30004883,3.21572,2.27105,-0.300376,0.0139848
3921.10009766,3.51626,2.23671,-0.617095,0.00737737
4096.89990234,3.46085,2.22727,-0.567777,6.67458e-15
4079.69995117,3.47139,2.25432,-0.590165,0.0334105
3868.80004883,3.31115,2.30249,-0.450815,0.00444923
4085.60009766,3.25805,2.30062,-0.37992,0.0045308
4063.80004883,3.32034,2.2603,-0.4459,0.0160682
3889.60009766,3.29016,2.26789,-0.412159,0.00155403
3882.90014648,3.4408,2.23916,-0.556791,0.390011
3884.0,3.30541,2.25619,-0.426107,0.00644815
3965.19995117,3.19928,2.31718,-0.283428,0.00435744
3858.80004883,3.19345,2.28521,-0.262212,8.11359e-06
4085.90014648,3.47204,2.26162,-0.594069,4.99235e-09
3859.40014648,3.27807,2.27899,-0.400716,0.0237973
3859.19995117,3.241,2.29705,-0.352946,0.21292
4077.0,3.23967,2.2729,-0.342094,4.82314e-05
3845.10009766,3.20208,2.33351,-0.291223,0.0150153
3891.5,3.37118,2.28661,-0.51204,0.00124485
3873.80004883,3.4408,2.24659,-0.560486,0.0100549
3895.90014648,3.41542,2.26013,-0.544063,0.0212853
4070.80004883,3.35901,2.24321,-0.480607,6.11895e-07
4068.40014648,3.25635,2.30937,-0.37978,0.000244049
4102.10009766,3.46801,2.21843,-0.568919,1.8225e-05
3896.10009766,3.36473,2.28042,-0.503068,0.0433106
4066.60009766,3.28414,2.25362,-0.397776,0.000149484
3926.90014648,3.50913,2.21671,-0.60089,0.00171105
4111.30029297,3.49157,2.24228,-0.600678,0.000520192
3961.5,3.50559,2.21748,-0.598573,0.0911018
3879.0,3.3334,2.26486,-0.462898,0.000215153
3868.5,3.18891,2.32879,-0.262883,0.00929413
3884.10009766,3.3334,2.26486,-0.462898,0.000441379
4057.0,3.36253,2.2348,-0.479962,2.8821e-08
4072.40014648,3.25489,2.31812,-0.379637,0.0443372
4071.30004883,3.41273,2.2684,-0.545207,0.00260191
4075.60009766,3.30541,2.29594,-0.441789,6.64421e-05
3895.80004883,3.46464,2.21917,-0.566521,2.42284e-05
4080.0,3.36716,2.272,-0.502227,0.000294493
4081.80004883,3.3208,2.25241,-0.44276,0.00389053
4078.5,3.29016,2.26789,-0.412159,0.0106711
4074.30004883,3.27345,2.2802,-0.394888,0.00994208
4053.0,3.33139,2.24983,-0.453719,6.37931e-05
3888.60009766,3.33475,2.24134,-0.453274,0.0162794
3886.60009766,3.35573,2.27488,-0.491453,0.0627495
3867.19995117,3.22228,2.31904,-0.327206,0.00113881
3878.69995117,3.27345,2.28828,-0.397816,0.00777723
3877.40014648,3.25851,2.30876,-0.382808,8.43781e-05
3979.19995117,3.24123,2.2806,-0.347667,0.0142559
3858.0,3.21932,2.32841,-0.323421,2.20504e-08
3879.40014648,3.28582,2.26107,-0.403506,0.000400369
3876.0,3.23246,2.26669,-0.327617,2.75948e-06
3874.30004883,3.24927,2.28661,-0.362332,4.13693e-05
3863.80004883,3.20636,2.32366,-0.298573,0.000223118
3917.80004883,3.47777,2.22353,-0.57977,0.0413682
