tof,distance,polar,azimuthal,weight
4091.19995117,3.44866,2.2154,-0.550837,0.00125016
3911.80004883,3.42788,2.24214,-0.546846,0.00135912
3836.10009766,3.2093,2.28918,-0.295651,2.12661e-11
4078.60009766,3.3908,2.24329,-0.512787,0.000919181
3974.60009766,3.21278,2.28823,-0.301863,0.00438942
4073.40014648,3.30609,2.30387,-0.445055,0.0195897
3841.19995117,3.20906,2.29755,-0.297931,0.0133031
3824.40014648,3.1897,2.30297,-0.259914,0.156263
4081.90014648,3.36186,2.28115,-0.500366,0.00197222
3895.0,3.35573,2.25164,-0.481262,0.00010151
3840.69995117,3.19586,2.30123,-0.272678,0.0170546
4083.69995117,3.3208,2.29184,-0.458881,0.000161147
3914.40014648,3.48917,2.2067,-0.579471,0.00777432
3883.10009766,3.32538,2.26687,-0.45463,0.114002
3920.5,3.47755,2.23084,-0.583513,0.0143636
4094.5,3.31371,2.24639,-0.431411,0.000119058
4087.90014648,3.41229,2.23828,-0.530677,0.000325232
3911.69995117,3.39426,2.23497,-0.511904,0.00208479
3882.30004883,3.30747,2.26352,-0.431968,0.00046903
4082.69995117,3.36473,2.24186,-0.485896,1.71834e-05
3898.0,3.39991,2.24116,-0.520499,0.000135459
3851.60009766,3.20758,2.31479,-0.299416,0.157485
3882.0,3.36186,2.28115,-0.500366,0.107657
3916.30004883,3.44146,2.22428,-0.54953,0.00066855
3890.60009766,3.47074,2.23236,-0.578722,0.124858
3975.19995117,3.19768,2.29236,-0.273725,0.00362988
3868.90014648,3.32342,2.25177,-0.445511,2.57391e-08
3907.19995117,3.42601,2.22038,-0.533652,0.00229101
3872.69995117,3.30609,2.24823,-0.423096,8.13615e-12
3894.30004883,3.39991,2.24116,-0.520499,0.0392122
3906.40014648,3.4881,2.24307,-0.598303,0.0276663
3959.30004883,3.20538,2.27377,-0.281953,0.0187159
3841.5,3.29304,2.29927,-0.42733,0.000128535
3897.40014648,3.38159,2.25306,-0.508467,9.94712e-06
3864.0,3.25805,2.27617,-0.371502,0.0729232
3910.19995117,3.43563,2.27041,-0.566808,0.00645512
3905.10009766,3.36119,2.258,-0.489969,0.00262543
3880.90014648,3.29972,2.28135,-0.42969,3.58032e-05
4078.5,3.23967,2.2729,-0.342094,1.37071e-08
