energy,intensity
-7.514872833251953921e+01,0.000000000000000000e+00
-7.363057220458983920e+01,0.000000000000000000e+00
-7.211241607666016762e+01,0.000000000000000000e+00
-7.059425994873046761e+01,0.000000000000000000e+00
-6.907610382080079603e+01,0.000000000000000000e+00
-6.755794769287109602e+01,0.000000000000000000e+00
-6.603979156494142444e+01,0.000000000000000000e+00
-6.452163543701172443e+01,0.000000000000000000e+00
-6.300347930908204575e+01,0.000000000000000000e+00
-6.148532318115235995e+01,0.000000000000000000e+00
-5.996716705322267416e+01,0.000000000000000000e+00
-5.844901092529298836e+01,0.000000000000000000e+00
-5.693085479736330257e+01,0.000000000000000000e+00
-5.541269866943361677e+01,0.000000000000000000e+00
-5.389454254150393098e+01,0.000000000000000000e+00
-5.237638641357424518e+01,0.000000000000000000e+00
-5.085823028564455939e+01,6.203632298786159491e-06
-4.934007415771487359e+01,1.153554332424027017e-06
-4.782191802978518780e+01,1.632070091295939165e-06
-4.630376190185550200e+01,3.428842824242159961e-06
-4.478560577392581621e+01,5.733695704668638416e-07
-4.326744964599613041e+01,2.570231788673079572e-06
-4.174929351806644462e+01,3.700606384696175592e-06
-4.023113739013675882e+01,1.410543405618508470e-05
-3.871298126220707303e+01,1.013197381243436698e-05
-3.719482513427738724e+01,6.565389817999016572e-06
-3.567666900634770144e+01,6.608622613052855176e-06
-3.415851287841801565e+01,6.823354504120806483e-07
-3.264035675048832985e+01,1.410779042898201300e-05
-3.112220062255864406e+01,7.772306010673603641e-05
-2.960404449462895826e+01,6.364384625311818604e-05
-2.808588836669927247e+01,7.747000178640682630e-05
-2.656773223876958667e+01,6.661503866739850507e-05
-2.504957611083990088e+01,1.429686396791518424e-04
-2.353141998291021508e+01,2.226114762149341046e-04
-2.201326385498052929e+01,2.817018421414363167e-04
-2.049510772705084349e+01,3.577831665115082218e-04
-1.897695159912115770e+01,4.557151766224670146e-04
-1.745879547119147190e+01,7.042303263639569351e-04
-1.594063934326178611e+01,8.300513419879272875e-04
-1.442248321533209854e+01,1.055412566553381179e-03
-1.290432708740241097e+01,1.609605367531323364e-03
-1.138617095947272340e+01,2.060546465112122767e-03
-9.868014831543035825e+00,2.855762294159128016e-03
-8.349858703613348254e+00,3.940865031731366659e-03
-6.831702575683660683e+00,6.767540463909170467e-03
-5.313546447753973112e+00,1.061563092968480573e-02
-3.795390319824285541e+00,1.860355175363535493e-02
-2.277234191894597970e+00,3.481261493718516148e-02
-7.590780639649103989e-01,5.061143801278279036e-02
7.590780639647771721e-01,5.937831538368130990e-02
2.277234191894464743e+00,4.812775745003111671e-02
3.795390319824152314e+00,2.235706838964051160e-02
5.313546447753839885e+00,5.314192418474009486e-03
6.831702575683527456e+00,2.698244892026834050e-04
8.349858703613215027e+00,1.361128948653783260e-10
9.868014831542902598e+00,0.000000000000000000e+00
1.138617095947259017e+01,0.000000000000000000e+00
1.290432708740227774e+01,0.000000000000000000e+00
1.442248321533196531e+01,0.000000000000000000e+00
1.594063934326165288e+01,0.000000000000000000e+00
1.745879547119134045e+01,0.000000000000000000e+00
1.897695159912102980e+01,0.000000000000000000e+00
2.049510772705071560e+01,0.000000000000000000e+00
2.201326385498040139e+01,0.000000000000000000e+00
2.353141998291008719e+01,0.000000000000000000e+00
2.504957611083977298e+01,0.000000000000000000e+00
2.656773223876945877e+01,0.000000000000000000e+00
2.808588836669914457e+01,0.000000000000000000e+00
2.960404449462883036e+01,0.000000000000000000e+00
3.112220062255851616e+01,0.000000000000000000e+00
3.264035675048820195e+01,0.000000000000000000e+00
3.415851287841788775e+01,0.000000000000000000e+00
3.567666900634757354e+01,0.000000000000000000e+00
3.719482513427725934e+01,0.000000000000000000e+00
3.871298126220694513e+01,0.000000000000000000e+00
4.023113739013663093e+01,0.000000000000000000e+00
4.174929351806631672e+01,0.000000000000000000e+00
4.326744964599600252e+01,0.000000000000000000e+00
4.478560577392568831e+01,0.000000000000000000e+00
4.630376190185537411e+01,0.000000000000000000e+00
4.782191802978505990e+01,0.000000000000000000e+00
4.934007415771474570e+01,0.000000000000000000e+00
5.085823028564443149e+01,0.000000000000000000e+00
5.237638641357411728e+01,0.000000000000000000e+00
5.389454254150380308e+01,0.000000000000000000e+00
5.541269866943348887e+01,9.040754391315280222e-06
5.693085479736317467e+01,7.572328795123277454e-07
5.844901092529286046e+01,1.277695055873108243e-06
5.996716705322254626e+01,2.960314164887364825e-05
6.148532318115223205e+01,5.337390040365362795e-06
6.300347930908191785e+01,1.313111699487499813e-06
6.452163543701161075e+01,1.818117789647809076e-05
6.603979156494128233e+01,6.473595063210002565e-05
6.755794769287098234e+01,1.006068980220223638e-04
6.907610382080065392e+01,8.237177403298419332e-05
7.059425994873035393e+01,2.007429169819461147e-04
7.211241607666002551e+01,2.486179145423210728e-04
7.363057220458972552e+01,4.974810298496996734e-04
7.514872833251939710e+01,6.008649872371743875e-04
7.666688446044909711e+01,7.890558123159290265e-04
7.818504058837876869e+01,1.305578098524904761e-03
7.970319671630846869e+01,2.003539293651564798e-03
8.122135284423814028e+01,2.958968567612159720e-03
8.273950897216784028e+01,4.923026783671506645e-03
8.425766510009751187e+01,9.422975743301233165e-03
8.577582122802721187e+01,1.828467430329872023e-02
8.729397735595688346e+01,4.494094245924747794e-02
8.881213348388658346e+01,7.843162861970003064e-02
9.033028961181625505e+01,2.379258764925654135e-02
9.184844573974595505e+01,3.582247061025514061e-04
9.336660186767562664e+01,1.680073708846951811e-04
9.488475799560532664e+01,4.900390020906368561e-04
9.640291412353499823e+01,4.451283371715308596e-04
9.792107025146469823e+01,8.816488738813772676e-04
9.943922637939436981e+01,1.248402623477544351e-03
1.009573825073240698e+02,2.084877007782771127e-03
1.024755386352537414e+02,3.186461331723083705e-03
1.039936947631834414e+02,6.308784989895743940e-03
1.055118508911131130e+02,1.235235584077986476e-02
1.070300070190428130e+02,2.872688761532245574e-02
1.085481631469724846e+02,7.130999883479502421e-02
1.100663192749021846e+02,2.313920095757795656e-02
1.115844754028318562e+02,2.112145135184588220e-05
1.131026315307615562e+02,0.000000000000000000e+00
1.146207876586912278e+02,0.000000000000000000e+00
1.161389437866209278e+02,0.000000000000000000e+00
1.176570999145505994e+02,0.000000000000000000e+00
1.191752560424802994e+02,0.000000000000000000e+00
1.206934121704099709e+02,0.000000000000000000e+00
1.222115682983396709e+02,0.000000000000000000e+00
1.237297244262693425e+02,0.000000000000000000e+00
1.252478805541990425e+02,0.000000000000000000e+00
1.267660366821287141e+02,0.000000000000000000e+00
1.282841928100584141e+02,0.000000000000000000e+00
1.298023489379880857e+02,0.000000000000000000e+00
1.313205050659177857e+02,0.000000000000000000e+00
1.328386611938474857e+02,0.000000000000000000e+00
1.343568173217771857e+02,0.000000000000000000e+00
1.358749734497068857e+02,0.000000000000000000e+00
1.373931295776365857e+02,0.000000000000000000e+00
1.389112857055662857e+02,0.000000000000000000e+00
1.404294418334959857e+02,0.000000000000000000e+00
1.419475979614256858e+02,0.000000000000000000e+00
1.434657540893553858e+02,0.000000000000000000e+00
1.449839102172850858e+02,0.000000000000000000e+00
1.465020663452147858e+02,0.000000000000000000e+00
1.480202224731444858e+02,0.000000000000000000e+00
1.495383786010741858e+02,0.000000000000000000e+00
